플랫폼,국가,#키워드,페어 ID,주기,1회 최대 수량,UNTIL (종료일)
Instagram,TW,#韓國醫美,,72,150,2026-03-16
Instagram,TW,#韓國人,,72,150,2026-03-16
Instagram,TW,#韓國生活,,72,150,2026-03-16
Instagram,TW,#釜山生活,,72,150,2026-03-16
Instagram,TW,#首爾生活,,72,150,2026-03-16
Instagram,TW,#韓國日常,,72,150,2026-03-16
Instagram,TW,#台灣人在韓國,,72,150,2026-03-16
Instagram,TW,#韓國留學,,72,150,2026-03-16
Instagram,TW,#在韓台灣人,,72,150,2026-03-16
Instagram,TW,#韓國打工度假,,72,150,2026-03-16
Instagram,TW,#台韓情侶,,72,150,2026-03-16
Instagram,TW,#韓國美食,,72,150,2026-03-16
Instagram,TW,#韓國美妝,,72,150,2026-03-16
Instagram,TW,#體驗,,72,150,2026-03-16
Instagram,TW,#韓國大創,,72,150,2026-03-16
Instagram,JP,#韓国美容,,72,150,2026-03-16
Instagram,JP,#韓国在住,,72,150,2026-03-16
Instagram,JP,#韓国在住日本人,,72,150,2026-03-16
Instagram,JP,#韓国生活,,72,150,2026-03-16
Instagram,JP,#韓国留学,,72,150,2026-03-16
Instagram,JP,#韓国暮らし,,72,150,2026-03-16
Instagram,JP,#ソウル生活,,72,150,2026-03-16
Instagram,JP,#日韓カップル,,72,150,2026-03-16
Instagram,JP,#韓国人,,72,150,2026-03-16
Instagram,JP,#韓国情報,,72,150,2026-03-16
Instagram,JP,#タイアップ,,72,150,2026-03-16
Twitter,JP,#韓国美容,,72,150,2026-03-16
Twitter,JP,#韓国在住,,72,150,2026-03-16
Twitter,JP,#韓国在住日本人,,72,150,2026-03-16
Twitter,JP,#韓国生活,,72,150,2026-03-16
Twitter,JP,#韓国留学,,72,150,2026-03-16
Twitter,JP,#韓国暮らし,,72,150,2026-03-16
Twitter,JP,#ソウル生活,,72,150,2026-03-16
Twitter,JP,#日韓カップル,,72,150,2026-03-16
Twitter,JP,#韓国人,,72,150,2026-03-16
Twitter,JP,#韓国情報,,72,150,2026-03-16
Twitter,JP,#タイアップ,,72,150,2026-03-16
Instagram,US,#kbeauty,,72,150,2026-03-16
Instagram,US,#lifeinkorea,,72,150,2026-03-16
Instagram,US,#livinginkorea,,72,150,2026-03-16
Instagram,US,#expatinkorea,,72,150,2026-03-16
Instagram,US,#foreignerinkorea,,72,150,2026-03-16
Instagram,US,#foreignersinkorea,,72,150,2026-03-16
Instagram,US,#seoullife,,72,150,2026-03-16
Instagram,US,#korealife,,72,150,2026-03-16
Instagram,US,#expatlife,,72,150,2026-03-16
Instagram,HK,#hkkol,,72,150,2026-03-16
Instagram,HK,#港韓夫婦,,72,150,2026-03-16
Instagram,HK,#hkinfluencer,,72,150,2026-03-16
Instagram,HK,#hkblogger,,72,150,2026-03-16
Instagram,HK,#hkgirl,,72,150,2026-03-16
Instagram,HK,#hkboy,,72,150,2026-03-16
Instagram,HK,#香港,,72,150,2026-03-16
Instagram,SG,#sglife,,72,150,2026-03-16
Instagram,SG,#sglifestyle,,72,150,2026-03-16
Instagram,SG,#sglife🇸🇬,,72,150,2026-03-16
Instagram,SG,#sglifestyleblogger,,72,150,2026-03-16
Instagram,SG,#sglifeinsta,,72,150,2026-03-16
Instagram,SG,#singaporean,,72,150,2026-03-16
Instagram,MY,#malaysiainfluencer,,72,150,2026-03-16
Instagram,MY,#malaysiakol,,72,150,2026-03-16
Instagram,MY,#igersmalaysia,,72,150,2026-03-16
Instagram,MY,#大馬網紅,,72,150,2026-03-16
Instagram,MY,#malaysiangirl,,72,150,2026-03-16
Instagram,MY,#马来西亚,,72,150,2026-03-16
Instagram,MY,#大马美女,,72,150,2026-03-16
Instagram,MY,#ootdmalaysia,,72,150,2026-03-16
